Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
"VGMDeclaration / vesselVoyageDetails / portOfDischarge",portOfDischarge,Location,,,,,"The location where the cargo is discharged from the last sea-going vessel.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address",address,Address,,,,,"Location address",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / facility",facility,Facility,,,,,"Facility identified by a code as defined by a code list provider.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / facility / facilityCode",facilityCode,string,,maxLength=6,,ADT,"Code identifying a specific facility, as defined by the `facilityCodeListProvider`.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / facility / facilityCodeListProvider",facilityCodeListProvider,string,,maxLength=10,,SMDG,"Code list provider (each with its relevant code list) defining the `facilityCode`:
- `SMDG` (using [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/smdg-terminal-code-list/))
- `BIC` (using [BIC Facility Codes](https://www.bic-code.org/facility-codes/))",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / facility / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / facilityTypeCode",facilityTypeCode,string,,maxLength=10,,RAMP,"Code identifying a specific type of facility

- `BORD` - Border
- `CLOC` - Customer location
- `COFS` - Container freight station
- `OFFD` - Off-dock storage
- `DEPO` - Depot
- `INTE` - Inland terminal
- `POTE` - Port terminal
- `RAMP` - Ramp
- `WAYP` - Waypoint",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / geoCoordinate",geoCoordinate,GeoCoordinate,,,,,"An object used to express a location using its geographic coordinates.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / geoCoordinate / latitude",latitude,string,,maxLength=20,,33.629152,"Latitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / geoCoordinate / longitude",longitude,string,,maxLength=20,,-118.587187,"Longitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / locationName",locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location.",
"VGMDeclaration / vesselVoyageDetails / portOfDischarge / UNLocationCode",UNLocationCode,string,,maxLength=5,,NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
"VGMDeclaration / vesselVoyageDetails / portOfLoading",portOfLoading,Location,,,,,"The location where the cargo is loaded onto a first sea-going vessel for water transportation.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address",address,Address,,,,,"Location address",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / facility",facility,Facility,,,,,"Facility identified by a code as defined by a code list provider.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / facility / facilityCode",facilityCode,string,,maxLength=6,,ADT,"Code identifying a specific facility, as defined by the `facilityCodeListProvider`.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / facility / facilityCodeListProvider",facilityCodeListProvider,string,,maxLength=10,,SMDG,"Code list provider (each with its relevant code list) defining the `facilityCode`:
- `SMDG` (using [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/smdg-terminal-code-list/))
- `BIC` (using [BIC Facility Codes](https://www.bic-code.org/facility-codes/))",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / facility / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / facilityTypeCode",facilityTypeCode,string,,maxLength=10,,RAMP,"Code identifying a specific type of facility

- `BORD` - Border
- `CLOC` - Customer location
- `COFS` - Container freight station
- `OFFD` - Off-dock storage
- `DEPO` - Depot
- `INTE` - Inland terminal
- `POTE` - Port terminal
- `RAMP` - Ramp
- `WAYP` - Waypoint",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / geoCoordinate",geoCoordinate,GeoCoordinate,,,,,"An object used to express a location using its geographic coordinates.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / geoCoordinate / latitude",latitude,string,,maxLength=20,,33.629152,"Latitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / geoCoordinate / longitude",longitude,string,,maxLength=20,,-118.587187,"Longitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / locationName",locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location.",
"VGMDeclaration / vesselVoyageDetails / portOfLoading / UNLocationCode",UNLocationCode,string,,maxLength=5,,NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
"VGMDeclaration / vesselVoyageDetails / vesselName",vesselName,string,,maxLength=50,,"King of the Seas","Name of the first sea-going vessel on which the cargo is loaded or intended to be loaded.",
"VGMDeclaration / VGM",VGM,VGM,,,,,"Verified Gross Mass of one piece of equipment, according to SOLAS Chapter VI, Regulation 2, paragraphs 4-6",
"VGMDeclaration / VGM / certificationDateTime",certificationDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"Date and time when the VGM certificate has been issued.",
"VGMDeclaration / VGM / certificationReference",certificationReference,string,,maxLength=70,,W42-23110812,"Reference number or identifier for the certificate issued by the weighing party (or a certified weighing facility).",
"VGMDeclaration / VGM / dateTime",dateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"Date and time when a gross mass (weight) of a packed container was obtained",
"VGMDeclaration / VGM / location",location,Location,,,,,"The location where the packed container was weighed to determine the Verified Gross Mass (VGM).",
"VGMDeclaration / VGM / location / address",address,Address,,,,,"Location address",
"VGMDeclaration / VGM / location / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`.",
"VGMDeclaration / VGM / location / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / VGM / location / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / VGM / location / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / VGM / location / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / VGM / location / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / VGM / location / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / VGM / location / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / VGM / location / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / VGM / location / facility",facility,Facility,,,,,"Facility identified by a code as defined by a code list provider.",
"VGMDeclaration / VGM / location / facility / facilityCode",facilityCode,string,,maxLength=6,,ADT,"Code identifying a specific facility, as defined by the `facilityCodeListProvider`.",
"VGMDeclaration / VGM / location / facility / facilityCodeListProvider",facilityCodeListProvider,string,,maxLength=10,,SMDG,"Code list provider (each with its relevant code list) defining the `facilityCode`:
- `SMDG` (using [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/smdg-terminal-code-list/))
- `BIC` (using [BIC Facility Codes](https://www.bic-code.org/facility-codes/))",
"VGMDeclaration / VGM / location / facility / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility.",
"VGMDeclaration / VGM / location / facilityTypeCode",facilityTypeCode,string,,maxLength=10,,RAMP,"Code identifying a specific type of facility

- `BORD` - Border
- `CLOC` - Customer location
- `COFS` - Container freight station
- `OFFD` - Off-dock storage
- `DEPO` - Depot
- `INTE` - Inland terminal
- `POTE` - Port terminal
- `RAMP` - Ramp
- `WAYP` - Waypoint",
"VGMDeclaration / VGM / location / geoCoordinate",geoCoordinate,GeoCoordinate,,,,,"An object used to express a location using its geographic coordinates.",
"VGMDeclaration / VGM / location / geoCoordinate / latitude",latitude,string,,maxLength=20,,33.629152,"Latitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
"VGMDeclaration / VGM / location / geoCoordinate / longitude",longitude,string,,maxLength=20,,-118.587187,"Longitude expressed as decimal degrees using the ISO 6709 data interchange numeric format.",
"VGMDeclaration / VGM / location / locationName",locationName,string,,maxLength=100,,"Port of Amsterdam","The name of the location.",
"VGMDeclaration / VGM / location / UNLocationCode",UNLocationCode,string,,maxLength=5,,NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
"VGMDeclaration / VGM / method",method,string,,,,SM1,"Method used to determine the VGM
- `SM1` - SOLAS verification method 1  (Scaled)
- `SM2` - SOLAS verification method 2 (Calculated)",
"VGMDeclaration / VGM / weight",weight,Weight,,,,,"The gross mass (weight) of the transport equipment",
"VGMDeclaration / VGM / weight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
"VGMDeclaration / VGM / weight / value",value,number,,,,2.4,"Weight value expressed in the measurement `unit`",
"VGMDeclaration / weighingParty",weighingParty,PartyDetails,,,,,"Legally accepted party designated to perform the weighing.",
"VGMDeclaration / weighingParty / address",address,Address,,,,,"An object for storing address-related information.",
"VGMDeclaration / weighingParty / address / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`.",
"VGMDeclaration / weighingParty / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / weighingParty / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / weighingParty / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / weighingParty / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / weighingParty / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / weighingParty / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / weighingParty / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / weighingParty / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / weighingParty / contactDetails",contactDetails,ContactDetails,,,,,"The contact details of a person.",
"VGMDeclaration / weighingParty / contactDetails / email",email,string,,maxLength=255,,jane.doe@example.com,"Contact email address",
"VGMDeclaration / weighingParty / contactDetails / name",name,string,,maxLength=255,,"Jane Doe","Contact name",
"VGMDeclaration / weighingParty / contactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
"VGMDeclaration / weighingParty / party",party,Party,,,,,"Identification of a container shipping party",
"VGMDeclaration / weighingParty / party / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / weighingParty / party / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `SMDG` (Ship Message Design Group)
- `ZZZ` (Mutually defined)

or any other code as defined in the
[DCSA Code List Providers](https://dcsa.atlassian.net/wiki/external/ZjA4M2I3MjA4MDg1NDEwYzlkYTcxNDRhYWQwNzFiYzY).",
"VGMDeclaration / weighingParty / party / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / weighingParty / party / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/EDIFACT 16A 3035](https://unece.org/fileadmin/DAM/trade/untdid/d16a/tred/tred3035.htm)
or a subsequent revision.",
"VGMDeclaration / weighingParty / partyName",partyName,string,,maxLength=70,,"Acme Inc.","Party name",
